nama,ulasan,label,sentiment,score
Juniar Fadhilah,"Bagus buat foto² rekomendasi kesini pagi atau sore sekalian, tutup jam 17.30",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8324780464172363}]",0.8324780464172363
Firman S Hermawan,"Bukit Jaddih sejatinya adalah tambang kapur. Uniknya, saat ini pertambangan masih berlangsung, sehingga ada alat berat dan truk yang berlalu-lalang mengangkut batu kapur. …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8485101461410522}]",0.8485101461410522
cahyana 104,Masih perlu perhatian dr pemerintah setempat.akses jln menuju lokasi msh bergelombang.meskipun panas tp asyik buat berfoto2 ria.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8932269811630249}]",0.8932269811630249
Rodi Ae,"Akses ke wisata ini masih jelek, ada tarik'an d awal yang ngeprank wisatawan, selain itu harga msuk msih ok si..",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9735311269760132}]",0.9735311269760132
Annisa Priyandita,"Untuk pemandangan bukit kapur dan kita bisa masuk ke dalam goa termasuk experince lain yg patut dicoba, tp syg akses kesini jalannya lumayan jelek",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9984437823295593}]",0.9984437823295593
Ubinkayu,Sepi dan kurang perawatan setelah covid.  Wisata murah fan menarik,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9955554604530334}]",0.9955554604530334
Grace_Octavia,Tempat untuk refresing dan cocok untuk berlibur dengan keluarga. Tempat di madura dan bisa diakses dengan mobil dan motor. Membayar 10b Banyak spot foto dan banyak turis lokal juga kesini,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9983410835266113}]",0.9983410835266113
Anik Lutfiyah,"Masuk gang pertama kali bayar seikhlasnya gitu ke warga. Lalu mau masuk areanya bayar lagi 20rb untuk mobil. Pas sudah di areanya yang luas, itu nanti kita bisa milih di area tertentu yang (sepertinya) dimiliki oleh beda-beda orang. Kalau …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8698452115058899}]",0.8698452115058899
Mister Baru,"Sempat ke goa pote aja
Bukit jaddihnya jarang yang kesana sekarang. Padahal dulu bagus",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.5226084589958191}]",0.5226084589958191
Arif Rahmat Santoso,Cukup luas dan ada pemandu nya klo masuk.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989363551139832}]",0.9989363551139832
Fasha,"kesini H+2 hari raya Idul fitri 2023 jalan agak rusak tapi senang aja suasananya unik dan ramai suara petasan, knalpot anak2 motor khas jaddih bangkalan madura.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9911305904388428}]",0.9911305904388428
Dwiky Patria,"Baru aja nyobain lagi datang kesini setelah beberapa tahun engga ke bukit jaddih.. entah karena lagi pandemi, yang datang kesini jauh lebih sedikit daripada dulu.. malah tadi saja sendiri saja yang datang.. di pintu masuk, ada retribusi …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9960833787918091}]",0.9960833787918091
dwi hendriono,"Perjalanan sangat menyenangkan. Kanan kiri persawahan yg sejuk. Jalan lumayan halus, dan agak sepi walau agak sempit. Setiba di bukit kapur, cuacanya sangat panas. Maklum pulau Madura terkenal akan panasnya. Namun terobati dengan …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9929298758506775}]",0.9929298758506775
Aulia Jihan RH,"Ke bukit Jaddih hari rabu (hari kerja). naik mobil empat orang dari Surabaya ke Bangkalan, waktu tempuhnya cuma setengah jam-an lewat Suramadu. Harusnya gak lama. Tapi karena ikutin rute yang disarankan sama Google maps (rute terdekat), …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.926713228225708}]",0.926713228225708
Vina Navika Yudha,Pas ga keliatan putih karena musim hujan.Jalan masuknya ancur.bayar 3x 😥 …,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9929754734039307}]",0.9929754734039307
Sistiyono MPH,Tempat bagus sayang belum didukung fasilitas jalan yg memadai dan pengelolaan yg baik.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.516480028629303}]",0.516480028629303
Gysaila Shaqila,"Parkiran cukup luas, mushola & kamar mandi cukup jauh hanya terletak di jalan masuk sebelum lokasi. Ada perahu getek juga. Terdapat banyak warung kopi. Hanya saja banyak pungli. Kurang lebih 3X harus bayar 'tiket' yang tidak jelas",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9974835515022278}]",0.9974835515022278
Nyta Narda Wijaya,"Tempat yang Lumayan Bagus , Sepi banget waktu kesini , cocok buat liburan rame rame bareng ,panas banget tapi kebantu angin yang lumayan kencang , 2x tarif di pintu awal dan pintu akhir , tempat bersih , full kapur dari ujung ke ujung , …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9964087605476379}]",0.9964087605476379
Ersa,Tempatnya panas. Tapi bagus untuk foto²,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.998877227306366}]",0.998877227306366
Yeni Rahmawati,Akses jalan sangat tidak bagus. Baru sampe udah diikutin orang. Mungkin warga lokal. Tapi bikin risih aja karna ngikutin terus dan terkesan maksa. Kalau emang niatnya dijadikan destinasi wisata harusnya dapat perhatian dari pemerintah setempat.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992249011993408}]",0.9992249011993408
Muin Official,"Alam yang terbentuk dari tetes keringat penduduk. Keindahannya terlihat namun belum nampak kepedulian dari penguasa desa.
Perlu komitmen bersama untuk menjadikan desa wisata yang ramah pada pengunjung.
Jika itu terjadi, insyaaAllah makmur penduduk sekitarnya",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9607158899307251}]",0.9607158899307251
zainur hadi,Kalau itu punya pemkab yaa kan bisa anggaran jalan masuk apbd karena bisa jadi destinasi kebanggaan bangkalan dan masyarakat setempat harus menjaga oknum pungli pungli yg tak bertanggung jawab serta keamanan tersebut agar bisa ramai destinasi tersebut dan pengunjung bisa nyaman,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9460235834121704}]",0.9460235834121704
Errin S,"Jalanan k tempat agak susah. Lagi beruntung karena hari biasa dan siang hari, jadi tidak ada pengunjung lain. Serasa VIP 😎 Mas nya baik banget nunjukin tempat2 foto, semi tur guide, sekaligus jd fotografer  🤭 …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9341071248054504}]",0.9341071248054504
David Yohanes,"Tempat wisata bukit jaddhih ini menjadi primadona di madura, tak kalah bagusnya dengan pantai yang ada di madura...tempat ini merupakan tempat wisata dengan bukit kapur, sehingga akan sangat kotor jika kita kesini..tapi itu semua terbayar …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8781919479370117}]",0.8781919479370117
Lila R. Sukendy,"Cuacanya panas, saya sarankan untuk kesini pagi-pagi agar tidak terlalu panas. Hati-hati dengan pungli. Sepanjang perjalanan ada beberapa point dimana kita akan diminta pungli atas nama kas desa, sumbangan desa dan sebagainya. Waktu itu …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9834222793579102}]",0.9834222793579102
Hilwani Sari,"Actually B aja :')
Tapi kalo serius dirawat pasti keren banget sih
Misalnya tiap kali lumut keluar, dibersihin biar kembali putih bersih
Trus airnya juga, dijaga dari sampah biar lebih jernih",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9966055154800415}]",0.9966055154800415
Channel Inspirasi Bersama,"kesana lewat jalur suramadu
cukup mudah diakses dengan google map
karena di sepanjang jalan masih jarang ada petunjuk jalan ke tempat ini …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.886519193649292}]",0.886519193649292
Irmawan Werdyanto,"Sebenarnya Bukit Jaddih memiliki kemiripan dengan Garuda Wisnu Kencana (GWK), meski tidak apple to apple. Perlu sentuhan lagi agar eye catching dan lebih instagramable serta wisatawan ingin kembali berkunjung. Banyak yang perlu dibenahi. …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9872567653656006}]",0.9872567653656006
N.H Kim,"Pungliiiiiii......
Lumayan sii banyak pungli...
Tempatnya ya udah bareng tuh sama truk2 ambil batu2, jalannya rusak, banyak …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9991675615310669}]",0.9991675615310669
Shirley Megawati,Spot foto keren... Untung pas datang suasana ngk panas... Jd bisa dpt hasil foto yg bagus... Cm akses masuk ke jaddih jalannya ngk rata,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9943388104438782}]",0.9943388104438782
Lia Kusuma Indhiarti,"ما شاء الله.
Keren banget tempatnya..instagramable..
Tapi ada yg perlu diperbaiki..yaitu akses jalan menuju lokasi (ada bbrp titik …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9659956693649292}]",0.9659956693649292
Robie Jaya,Objek wisata yg sangat sangat tidak terawat sekarang sdh tak sebagus dlu dn juga sepi pengunjung meskipun itu weekend pungli juga banyak disana tolong di berantas oknum² nakal yg mencari keuntungan disana..,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9996237754821777}]",0.9996237754821777
Tanto Doank,"Merupakan daerah tambang batu kapur yang juga dimanfaatkan sebagai obyek wisata.
Pengelolaan oleh pemerintah masih sangat minim, akses jalannya sulit dan banyak …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9971265196800232}]",0.9971265196800232
Ganong Channel,"Jika tidak di kelola dg baik, saya khawatir tempat ini makin lama akan punah. Krn banyaknya penambang batu yg membuat cepat habis bebatuan di tempat wisata ini.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9997202754020691}]",0.9997202754020691
Adhy Prasetiya,"Bukit Jaddih merupakan lokasi penambangan kapur yang hingga saat ini masih aktif. Melihat polanya, kemungkinan tambang ini dahulu dikerjakan secara manual sebelum akhirnya menggunakan alat berat seperti saat ini. Pada lokasi yang sudah …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9701827764511108}]",0.9701827764511108
Ridwan Oncy,"Banyak pungli, kebanyakan  bayar pas masuk wisatanya jadi males kapok gak mau balik lagi mending ke pantai aja",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9976043105125427}]",0.9976043105125427
Intan Diah Pratiwi,"Bukit kapur yang menjadi wisata dan bisa menjadikan Bangkalan semakin terkenal!

Seperti selayaknya suasana bukit Kapur pada umumnya yang berdebu, terik panas …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9284566640853882}]",0.9284566640853882
Wahyu Cungkring Channel,"Bukit Jaddih adalah tempat yang cocok buat yang pingin ngetrip tipis, di Bukit Jaddih anda akan disuguhi pemandangan bukit kapur dan panorama alam yang sangat bagus buat para foto grafer dan mungkin yang ingin prewed. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995367527008057}]",0.9995367527008057
N3Y,Awalnya saya penasaran sampai akhirnya datanglah ke Bukit kapur yang letaknya ada di pusat kota Bangkalan ini. Ingin melihat langaung dan membuktikan sendiri keindahan bukit kapur yang diberi nama bukit Jaddih ini. Ga hanya lewat foto-foto …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9987450838088989}]",0.9987450838088989
Risdiana Dwiwindarti,"Dulu ramai,kini sepi krn pendemi,buat pengelola ditambahkan jaring di atas supaya tidak terlalu panas,saya tgl 13 maret 2021,kasihan warung2nya.kurang promosi di medsos pengelolanya",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9969990253448486}]",0.9969990253448486
Ilham Rizqi07,"Ini adalah salah satu wisata terutama untuk yg suka foto2, di area madura. Tp tempat ini jd tidak terlalu jauh dari surabaya, so bagi kalian arek suroboyo, mampir rene cuk. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9838374257087708}]",0.9838374257087708
Ulil Ma,Salah satu wisata yg recomend di Bangkalan Madura,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995912909507751}]",0.9995912909507751
Rudianto,"Menurut saya, Bukit Jaddih adalah tempat wisata yang benar-benar luar biasa spektakuler dan kedepan sepertinya akan terus bertambah spektakuler. …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994420409202576}]",0.9994420409202576
Amelia Okta,"Situs penambangan kapur yang sangat luas, dan tampaklah bukit kapur yang indah. Kalau ke madura coba mampir, sekalian ke bebek sinjay. Areanya sangat luas, pas cuaca cerah hasil foto juga sangat instagramable bgt. Masuk cm bayar parkir. Di dalamnya ada kolam renang dan danau tapi dikenakan tiket tambahan.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9939512014389038}]",0.9939512014389038
Wahyu Widiyantoro,"Tempat yg megah dan mengagumkan. Kalau siang akan silau sekali dan berangin. Disarankan pakai kacamata. Terdapat warung minum dan toilet. Tempat parkir tersedia. Loket masuk area Goa Pote per orang Rp 5.000,- (retribusi mobil dan parkir tdk …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9990193843841553}]",0.9990193843841553
tokocoklat mgc,"Saya ke sini juni 2019

Bukit jaddih ini adalah penambangan kapur yang dijadikan lokasi wisata.. …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9869958758354187}]",0.9869958758354187
Jouddy Diana,"Hhhhmmmm... Banyak pungli, kurang nyaman karena banyak pungli. Panas dan berdebu ternyata, saya sarankan membawa kacamata biar gak kelilipan Dan sunblock biar kulit gak gosong. sepertinya cukup sekali saja berkunjung bukit Jadih, semoga kedepannya dikelola menjadi lebih baik untuk destinasi wisata yang nyaman",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9962032437324524}]",0.9962032437324524
Adi Suryawan,"Baru pertama kali tempatnya cukup jauh dari Kota Surabaya, berhati-hati dengan map google titik lokasinya salah, makanya kemarin tanya ke orang desa atau kampung bicaranya tidak begitu jelas, tempatnya tidak memiliki tanda papan nama …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9991872906684875}]",0.9991872906684875
Bayu Prasongko,"wisata yg masih tergolong mahal, dengan pemandangan & suasana seperti itu : panas, gersang,  fasilitas minim, kotor & banyak pungli.  untuk menuju lokasi ini saja harus berhati2 dgn jalan sempit & berlubang, polisi tidur dimana2, pengendara …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9833071231842041}]",0.9833071231842041
YuNi,"Kalau masuk kesini bayarnya 3 portal, 1 portal kampung, 2 portal masuk wisata, 3 portal masuk telaga. Utk tempat lumayan instragameble, disana juga ada org juala mknan dan minuman ringan, meskipun gk banyak yg jualan tp ada.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9893590211868286}]",0.9893590211868286
Vrila,"Sebenarnya ini penambangan batu yg masih aktif, Tp lumayan bagus..ada danau kecil yg dilengkapi dg persewaan gethek bambu..sayang unt biaya tiket nya termasuk mahal. Unt mobil kena 20rb.belum ketika kita masuk ke bukit ada lagi..trus …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.5912386178970337}]",0.5912386178970337
RnT,"Ada 3 spot wisata yang bisa kita kunjungi. Ada kolam renang, Danau Biru, atau naik ke Bukit. Kalau mau ke Bukit Harus lebih hati-hati karena melewati jalan kendaraan penambangan batu kapur. Jalannya menanjak dan tidak rata. Sampai di atas …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9972577691078186}]",0.9972577691078186
Astuti Tri,Tempatnya enak rasanya pingin sana lg,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998407363891602}]",0.9998407363891602
iben darmawan,"Menuju Bukit Jeddih dari pintu keluar Jembatan Suramadu lurus saja, di pertigaan besar pertama belok kiri, ikuti jalan kecil aspal, hati hati bila terjadi simpangan dengan mobil, harus mengalah. Pintu masuknya tersamar, tidak ada petunjuk …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9986823201179504}]",0.9986823201179504
Yohannes Evan,"Tempat wisata yg eksotis pemandangan Bagus, cocok buat foto foto. Saran kalo kesini pagi atau agak sore, udaranya seger",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998261332511902}]",0.9998261332511902
Ririen Wisma,"Sebuah bukit kapur yang kapurnya bisa dibuat untuk bangunan rumah.  Karena perpaduan kapur dengan genangan air sehingga membuat air di sekitarnya berwarna hijau. Ada sebuah gua namanya Goa Pote. Bagus viewnya. Tetapi untuk parkirnya mahal, 50 rb untuk bus kapasitas 30 orang.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8746868371963501}]",0.8746868371963501
Kartika Dyah,Memang untuk hunting foto. Bagus spot nya,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995007514953613}]",0.9995007514953613
Diva Sasmita Widitama,"Tempatnya kalo hari biasa sepi , tp kalo idealnya diatas jam 12 soalnya matahari sudah di barat jadi tidak terlalu panas
Tiket masuk mobil 20rb dan motor 10rb
Untuk ke goa pote ditambah lagi per orang 5rb",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9700184464454651}]",0.9700184464454651
Hany Hany,Wisata bukit Jaddih lumayan juga buat rekreasi keluarga. Masuk pertama bayar 5rb trus parkir masuk pertama bayar 25rb trus parkir kedua bayar 20rb. Ini yg parkir ke goa pote. Setelah dapet parkiran baru jalan menuju wisata. Pilihan bisa …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9813448190689087}]",0.9813448190689087
Azaukamaiqi Right,"hati2 pungli di area wisata.. biaya masuk hanya 1x, berbeda dgn biaya utk berenang. siap sedia kacamata dan masker krna debu kapur banyak berterbangan, terutama saat panas",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9972206354141235}]",0.9972206354141235
Lesia Issaura Eunike,Tempaynya sangat panas.. Ini adalah semacam tebing kapur yang masih d kelolah secara tradisional oleh penduduk sekitar.. Saat maret 2018 saya ke sana pekerja juga sedang membuat kamar2 yg nantinya akan d sewakan untuk pengunjung. Kamar …,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9587230682373047}]",0.9587230682373047
Lutfi Muhammad,"Ini bukit kapur yang terletak di Pulau madura. Banyak spot fotonya. Kalau kesini, sempatkan naik ke puncak bukit tertingginya untuk melihat sunset. Indah dan keren banget pemandangannya. Area parkir dimana-mana. Ada musholla di area danaunya. Tapi banyak punglinya waktu saya kesini dulu.",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9982522130012512}]",0.9982522130012512
Rachmad Gesah,"Masih belum terkelola dengan baik... Mungkin karena obyek wisata masih baru...
Lagian masih banyak truk proyek yang bersliweran.... Dan masih ada pengerjaan proyek penggalian untuk batu bata putih. …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9987541437149048}]",0.9987541437149048
